Review.Text;Sentiment;pred_10;pred_100;pred_200
Gostei;Positive;1;1;1
Muito boa;Positive;1;1;1
Muito top;Positive;1;1;1
Ótimo;Positive;1;1;1
Ótimo;Positive;1;1;1
Otimo;Positive;1;1;1
E a URA me fez ligar 5 vezes para digitar um valor de resgate de poupanca...ou eu nao sei digitar ou nao sei o que e digitar sem zero ou pontos. Nao exibe telefone de ajuda SOS B4 Bank...;Negative;3;3;1
Se sh;Positive;1;1;1
Muito bom e útil.;Positive;1;1;1
Muy bueno;Positive;1;1;1
Muito bom;Positive;1;1;1
Ameiiii;Positive;1;1;1
App muito bom. Após esta última atualização o app ficou muito lento, mesmo em smartphone de última geração.;Positive;3;3;3
Simples para operações de rotina;Positive;1;1;1
Boa, rápido e prático. Gosto .;Positive;1;1;1
Facilidade e rapidez;Positive;1;1;1
Muito útil e prático. As orientações são simples e objetivas. Apenas continuam com dificuldades para depositar cheques pelo App. Nem sempre consigo. Principalmente quando o cheque tem alguma borda brilhante.;Positive;1;1;1
O aplicativo é ótimo! A aba de investimentos poderia ter mais informações, comparativos da carteira com índices de mercado.;Positive;1;1;1
Excelente;Positive;1;1;1
Bom;Positive;1;1;1
Muito bom;Positive;1;1;1
Melhor aplicativo;Positive;1;1;1
Instalei já por 2 vezes e ele continua pedindo para atualizar.;Neutral;3;3;3
Muito bom .;Positive;1;1;1
Prático e moderno;Positive;1;1;1
App completo de tudo.;Positive;1;1;1
Excelente;Positive;1;1;1
Excelente, rápido;Positive;1;1;1
Não dá para utilizar um App que não consegue mostrar a fatura do cartão de crédito pois o mesmo foi desbloqueado há pouco tempo e só ter acesso a fatura após o fechamento. Muito a melhorar!;Negative;3;3;3
Muito bom;Positive;1;1;1
Ótima;Positive;1;1;1
Ótimo;Positive;1;1;1
Excelente;Positive;1;1;1
Muito Pratico e Objetivo, consegue suprir minhas necessidades;Positive;1;1;1
O novo extrato ficou muito bom. Que venham mais melhorias. ;Positive;1;1;1
Pesadao;Positive;1;1;1
Fácil de usar, confiável.;Positive;1;1;1
Prático e seguro. Faz mais operações que app de outros bancos.;Positive;1;1;1
Foi fácil.;Positive;1;1;1
Um aplicativo super lento leva quase um minuto para ligar e quase 3 para fazer uma transferência, uma vergonha;Negative;3;3;3
Muito fácil e segura;Positive;1;1;1
Gosto muito do B4 Bank;Positive;1;1;1
muito prático;Positive;1;1;1
Simplesmente prático e funcional.;Positive;1;1;1
Excelente aplicativo;Positive;1;1;1
Pratico e seguro.;Positive;1;1;1
Funcional;Positive;1;1;1
O aplicativo no geral é bom. Mas tem problemas graves em alguns pontos. 1- o depósito de cheques é o mesmo deplorável, muito fraco e quase nunca detecta as bordas. 2- seria ótimo se encontrassem uma forma de agilizar as transferências, mas pois 5 passos acho demais.;Neutral;1;1;1
Muito eficiente;Positive;1;1;1
Ótima;Positive;1;1;1
Coloquem no App as informações sobre nossos títulos de capitalização . Só consigo ter acesso pelo notebook. Ponham está opção no menu do App por favor!;Positive;1;1;1
Seria legal se o App tivesse as mesmas telas do caixa eletrônico ou vice versa... ficaríamos mais familiarizados...;Positive;1;1;1
faltam algumas funcoes de consulta;Positive;1;1;1
Excelente aplicativo, satisfeita!;Positive;1;1;1
Ótimo! Fácil de operar!;Positive;1;1;1
Rápida e fácil;Positive;1;1;1
muito rápido e facil;Positive;1;1;1
É ótimo esse App.;Positive;1;1;1
Simplesmente o melhor banco do Brasil!!!;Positive;1;1;1
Bom;Positive;1;1;1
Experiencia pessima, nojenta, com os aplicativos desse banco;Negative;1;3;3
Boa, as vezes tenho dificuldade para encontrar o que preciso.Ok;Positive;1;1;1
Muito bom;Positive;1;1;1
Sinto falta de visualizar e compartilhar uma segunda via da fatura do cartão de crédito.;Positive;1;1;1
Muito prático;Positive;1;1;1
Muito bom pois é ágil e evita que eu necessite do computador para dar conta dos meus pagamentos .;Positive;1;1;1
As vezes e difícil de abrir o App. Já desinstalei e instalei de Novo e continua a mesma coisa. As vezes só abre na terceira tentativa.;Positive;3;3;3
Já faz 1 ano que cancelei 1 cartão de crédito e até hoje ele aparece na minha c/c no app. Péssimo!!!?;Negative;3;1;3
Ótimo;Positive;1;1;1
Super prático e com todas as funções do dia a dia disponíveis.;Positive;1;1;1
Funciona perfeitamente;Positive;1;1;1
Layout simples e fácil de usar, até então não me deixou na mão.;Positive;1;1;1
Ele demora muito pra entrar fica rodando muito tempo...no restante está ótimo...;Neutral;1;1;1
Está uma vergonha, aplicativo travando, não reconhecendo digital.;Negative;3;3;3
Bom;Positive;1;1;1
Pratico Prático usar;Positive;1;1;1
Excelente, cada vez melhor!!! Funcional e eficiente!;Positive;1;1;1
Falha em momentos inoportunos;Neutral;1;1;1
Na hora de depósito pelo aplicativo... o mesmo trava... continua com o mesmo problema...;Positive;3;3;3
Aplicativo funciona muito bem. Totalmente funcional;Positive;1;1;1
Ótimo App, sempre me ajudando. Para correntistas, recomendo ter instalado. A única coisa que eu si no falta e da autenticação por digital que tiraram nas últimas atualizações.;Positive;1;1;3
Fácil de utilizar...... ;Positive;1;1;1
So consigo utilzar no celular no computador desde que atualizou a versao paea 2 1.2.7 nao funciona mais;Negative;1;1;3
ótima;Positive;1;1;1
Muito bom;Positive;1;1;1
novo App não está funcionando,;Negative;1;1;1
A e muito bom;Positive;1;1;1
Apresenta erros com frequência.Todas as vezes que clico para capturar cheque para depósito o app fecha sozinho. Além de outros erros. Atualizaram e não adiantou nada.;Negative;3;3;3
Muito bom o app;Positive;1;1;1
Melhorias: Poderia permitir imprimir o extrato do cartão de crédito via app do cel.;Positive;1;1;1
Começou não aceitando a biometria e agora nem abre mais o teclado para digitar senha. Dificil algo que funcione de forma adequada no B4 Bank... trava, diz que está fora do ar e o atendimento telefônico é péssimo. Não resolvem nada, so dizem que alguém irá entrar em contato, mas nunca ligam.;Negative;3;3;3
Não consigo ativar meu Samsung Pay pq o itoken não é reconhecido. Detalhe que o itoken funciona para outras operações;Negative;2;3;3
nao sei usar ainda !!!;Negative;1;1;1
Maravilhoso !!;Positive;1;1;1
