"keyword";"apply.dataset..2..sum."
"aba";1
"abaixo";1
"abandonar";1
"aberto";1
"abertura";3
"abra";1
"abre";9
"abri";2
"abrindo";1
"abrir";18
"abriu";1
"abro";1
"absoluta";1
"absorver";1
"absurda";1
"absurdo";4
"acaba";3
"acabei";1
"ação";1
"account";1
"aceita";3
"aceitam";1
"aceitando";2
"aceitar";1
"aceitou";2
"acentos";1
"acertar";1
"acessa";3
"acessando";2
"acessar";21
"acesso";17
"acha";1
"acham";1
"achar";1
"achei";2
"acho";3
"acima";1
"acionei";1
"aciono";1
"ações";1
"acompanhando";1
"acompanhar";1
"acontece";5
"acontecendo";3
"aconteceu";3
"acontecido";1
"acredito";1
"acusa";1
"adequada";1
"adequadamente";1
"adetir";1
"adianta";1
"adiantam";1
"adiantou";3
"adicionar";1
"afinal";1
"afirma";1
"agencia";3
"agência";21
"agências";1
"agendamento";5
"agendar";2
"agil";1
"agilidade";1
"agkra";1
"agora";17
"agosto";1
"agradar";1
"água";1
"aguardando";2
"aguardo";1
"ainda";10
"ajuda";2
"ajudar";2
"ajudou";1
"ajusta";1
"ajuste";1
"alarece";1
"alcance";1
"alega";2
"além";7
"alerta";1
"algo";5
"alguem";1
"alguém";1
"algum";4
"alguma";2
"algumas";6
"alguns";2
"alta";1
"alterações";1
"alterado";2
"altos";1
"ambientes";2
"ambos";1
"américa";1
"amigável";1
"android";10
"annoying";1
"ano";3
"anos";2
"antecipados";1
"anterior";4
"anteriores";1
"anteriormente";2
"antes";9
"antigo";2
"antivírus";1
"apaga";1
"aparece";9
"aparecem";2
"aparecendo";1
"aparecia";1
"aparelho";4
"aparente";1
"apenas";5
"apesar";1
"aplicação";2
"aplicações";2
"aplicar";2
"aplicativo";91
"aplicativos";4
"aplocativo";1
"apontar";1
"apos";1
"após";19
"app";138
"apps";3
"aprentação";1
"apresenta";3
"apresentando";2
"aprovar";1
"aproveitamento";1
"aproximada";1
"apuros";1
"aqui";5
"arapuca";1
"arcaico";1
"área";2
"armadilha";1
"arquivos";1
"arrependi";1
"assaltos";1
"assim";3
"assunto";2
"assuntos";1
"ate";2
"atencao";1
"atenciosamente";1
"atende";1
"atendente";3
"atendimento";6
"ativar";4
"atm";1
"atrás";2
"atrasa";1
"atrasada";1
"atrasado";1
"atrasando";1
"atraso";3
"através";3
"atualiza";6
"atualizacao";2
"atualização";53
"atualizacoes";3
"atualizações";8
"atualizado";1
"atualizaliguei";1
"atualizando";2
"atualizar";36
"atualizaram";1
"atualizarem";1
"atualizei";8
"atualizem";1
"atualizo";1
"atualizou";3
"atualmente";2
"aumenta";2
"aumentar";1
"aumentaria";1
"autenticando";1
"autentique";1
"automática";2
"automatico";1
"automático";4
"autorizar";1
"avaliacao";1
"avaliação";3
"avaliado";2
"avaliar";5
"avaliei";1
"avança";1
"avisa";1
"avisando";2
"avisar";2
"avisei";1
"aviso";1
"baita";1
"baixar";11
"baixei";1
"baixíssima";1
"baixou";1
"banal";1
"bancario";1
"banco";35
"bancos";10
"bank";48
"bankalite";5
"bankalité";2
"bankcard";2
"banking";2
"banknalite";1
"banknalité";8
"banknalitè";2
"bankunibanco";1
"bankvest";1
"barra";9
"barras";17
"barrasa";1
"básicas";2
"básico";1
"bastante";2
"bastasse";1
"bateria";1
"beco";1
"bem";11
"benchmarking";1
"beneficiario";1
"biometria";4
"biométrico";2
"bloquada";1
"bloqueado";1
"bloqueando";1
"bloquearam";1
"bloqueia";2
"boleto";6
"boletos";7
"bom";15
"bomestah";1
"bonito";1
"bons";1
"borda";1
"botão";1
"botar";1
"bradesco";2
"brasil";9
"brecha";1
"breve";1
"brincadeira";1
"bst";1
"bug";5
"bugado";1
"bugs";11
"burocrático";1
"cabeça";1
"cabíveis";1
"cada";11
"cadastramento";2
"cadastrar";5
"cadastro";2
"cade";2
"cagada";1
"cai";1
"cair";1
"caiu";1
"caixa";16
"calendário";1
"camera";4
"câmera";5
"caminho";3
"caminhos";1
"campo";2
"canal";1
"cancela";1
"cancelar";1
"cancelei";1
"cansativo";1
"cansei";1
"cantos";1
"captura";3
"capturar";4
"caputira";1
"carregar";1
"cartao";4
"cartão";48
"carteiras";1
"cartões";15
"casa";4
"caso";1
"casos";1
"castigo";1
"categoria";3
"categorias";1
"causa";2
"causando";1
"causaram";1
"celular";22
"central";1
"certos";1
"chamado";1
"chata";1
"chato";4
"chaveiro";3
"chegando";1
"chegar";2
"cheguei";1
"cheia";1
"cheio";4
"cheque";15
"cheques";6
"cinco";1
"claras";2
"claro";1
"claros";2
"clica";1
"clicar";2
"clico";3
"cliente";10
"clientes";4
"cliquei";1
"coantento";1
"cobra";1
"cobraria";1
"cobrou";1
"cod";3
"code";4
"codigo";3
"código";19
"codigos";1
"códigos";7
"coisa";4
"coisas";2
"coloca";3
"colocar";4
"coloco";2
"coloridos";1
"comandos";2
"começa";1
"começar";1
"começou";1
"comentario";1
"comercial";1
"comorovantes";1
"compara";1
"comparado";2
"comparando";2
"compartilha";1
"compartilhamento";1
"compartilhar";2
"compatível";2
"competente";1
"competindo";1
"completamente";1
"completar";1
"completo";1
"complicadíssimo";1
"complicado";4
"complicou";1
"compra";2
"comprar";1
"compras";3
"compro";1
"comprovante";5
"comprovantes";7
"computador";8
"conclui";1
"concluir";1
"concorrência";1
"condições";1
"conecta";1
"conexão";2
"confiadas";1
"confiavel";2
"confiável";2
"confirmação";1
"confirmar";1
"confirmo";1
"conflito";2
"confusa";1
"confuso";5
"confusoes";1
"conheço";1
"consegindo";1
"consegue";12
"conseguem";1
"conseguemuita";1
"consegui";10
"conseguia";3
"conseguimos";1
"conseguindo";5
"conseguir";7
"conseguiram";1
"consertem";2
"considera";1
"consigo";56
"consta";1
"constante";2
"constantemente";2
"constantes";1
"constrangedor";1
"consulta";2
"consultar";1
"consultas";3
"conta";42
"contantes";1
"contar";1
"contas";9
"contato";5
"contém";1
"continua";9
"contínua";1
"continuam";2
"continuar";1
"continuidade";1
"continuo";2
"contrário";1
"contratar";1
"contratem";1
"controle";2
"conveniência";1
"copiem";1
"cor";1
"correção";2
"correio";1
"corrente";5
"correntista";1
"corretamente";1
"correto";3
"corretor";1
"corretora";2
"corrigido";1
"corrijam";2
"cpf";1
"crash";1
"credito";2
"crédito";21
"cresceu";1
"criadores";1
"criam";1
"criar";3
"csv";1
"cumpre";1
"cúmulo";1
"cvv";1
"dada";1
"dadepoupe";1
"dados";5
"daí";2
"dando";7
"dáo";1
"dão";1
"dar";5
"darf";1
"data";4
"dda";1
"deatualização";1
"débito";4
"debitos";1
"decepção";1
"decepcionado";1
"décima";1
"decisão";1
"decisões";1
"decorar";1
"decpepcionante";1
"dedo";1
"dêem";1
"defasado";1
"define";1
"deixa";2
"deixando";3
"deixou";3
"demais";5
"demandam";1
"demandando";1
"demandarem";1
"demora";14
"demorada";1
"demorado";2
"demoram";1
"demorando";3
"dentro";1
"depositar";2
"deposito";2
"depósito";5
"depósitos";1
"desabilita";1
"desagradável";2
"desastre";1
"desastrosa";1
"desativado";1
"desativou";1
"desbloqueado";2
"desbloquear";3
"desbloqueio";1
"descobri";1
"desconfigura";1
"desconfigurou";1
"desde";6
"desejar";4
"desejo";1
"desempenho";1
"desenho";1
"desenvolvedores";2
"desenvolver";1
"desinformação";1
"desinstalar";4
"desinstalei";4
"desistalando";1
"desktop";1
"desliga";1
"deslocar";1
"desloga";1
"desnessario";1
"despesas";2
"despois";1
"dessas";1
"desse";5
"desses";2
"deste";1
"destinatário";1
"destino";2
"destruiu";1
"detalhado";1
"detalhe";1
"detalhes";2
"detectar";2
"detesto";1
"deu";4
"devagar";1
"deveria";10
"deveriam";2
"devíamos";1
"devido";2
"dez";1
"dia";9
"diaria";1
"diariamente";1
"diários";1
"dias";13
"dica";1
"didnt";1
"diferença";1
"diferencial";1
"diferente";2
"diferentes";2
"dificil";2
"difícil";5
"dificuldade";2
"dificuldades";1
"dificulta";1
"dificultando";3
"digita";1
"digitação";2
"digitada";1
"digitado";1
"digitais";3
"digital";18
"digitalo";1
"digitando";1
"digitar";12
"digitei";2
"digito";2
"dígito";2
"dígitos";2
"dinheiro";2
"direciona";1
"direito";2
"direto";5
"diretonão";1
"disparado";1
"dispõe";1
"disponibilizar";1
"disponiveis";1
"disponíveis";1
"disponível";3
"dispositivo";1
"disse";1
"disseram";1
"disso";3
"disto";2
"diversas";5
"divido";1
"diz";15
"dizem";1
"dizendo";2
"dizer";1
"dizia";1
"doc";4
"dois";2
"doméstica";1
"dor";1
"dose";1
"dowload";1
"download";2
"droga";1
"duas";5
"durante";3
"economias";1
"economizar";1
"edit";1
"efetivando";1
"efetuar";4
"efetuei";1
"efetuou";1
"eficiência";1
"eletrônica";1
"eletronico";1
"eletrônico";17
"email";10
"emite";1
"empresa";2
"empresas";2
"encaminhada";1
"encaminhar";1
"encerra";3
"encerrados";1
"encerrar";3
"encerrarei";1
"enche";3
"encontra";1
"encontrar";1
"encontrei";1
"enganei";1
"enganosa";1
"enquanto";1
"então";4
"entender";1
"entendo";1
"entra";3
"entrar";11
"entrega";1
"entrei";3
"entretanto";1
"entro";5
"enviado";2
"enviar";2
"enviei";1
"envio";1
"enviou";1
"equipe";3
"errada";4
"erradamente";1
"erradas";1
"errado";2
"errática";1
"erro";18
"erros";11
"escolher";2
"espaço";8
"especial";1
"especializado";1
"especificado";1
"espera";2
"esperava";1
"espero";1
"espetacular";1
"esqueci";1
"esqueço";1
"estabilidade";1
"estado";1
"estalando";1
"estando";1
"estao";2
"estar";1
"estaria";1
"estável";1
"estragaram";1
"estratégia";1
"estrato";1
"estrela";1
"estrelas";3
"etapa";2
"etc";2
"eternidade";1
"etoken";3
"eventual";1
"evite";1
"evoluido";1
"exata";1
"excedem";1
"excedido";1
"excel";1
"excelente";1
"excluíram";1
"execução";1
"executar";1
"exemplo";4
"exibe";1
"exige";2
"exigindo";1
"existe";6
"existem";1
"existia";1
"expediente";1
"experiencia";1
"experiência";2
"expirou";5
"explicação";2
"externa";1
"extrato";12
"extratos";4
"extremamente";3
"façam";1
"facil";1
"fácil";6
"facilita";1
"faco";1
"faço";6
"fala";2
"falam";1
"falando";3
"falar";1
"falei";1
"falha";5
"falhas";2
"falo";1
"falou";2
"falta";6
"faltam";2
"farura";1
"fatura";18
"faturar";1
"faturas";2
"favor";9
"favorecido";1
"favorecidos";1
"faz";11
"fazem";4
"fazendo";3
"fazer";41
"fazerem";1
"fazia";1
"fecha";11
"fechada";1
"fechado";2
"fechamento";1
"fechando";1
"fechar";2
"fechava";1
"feio";1
"feira";1
"feito";3
"feriado";1
"ferramenta";1
"feu";1
"fez";2
"fgts";1
"fic";1
"fica";20
"ficado";1
"ficam";1
"ficando";3
"ficar";6
"ficarem";1
"ficaria";1
"fico";2
"ficou";5
"final";2
"finalizar";1
"finalmente";1
"financas";1
"fingerprint";1
"fintechs";1
"fiquei";2
"física";2
"físico";1
"fiz";3
"fizeram";2
"flutuações";1
"foca";1
"focada";1
"focalizando";1
"focar";2
"foco";3
"folga";1
"fonte";1
"forma";5
"formato";3
"formatolayout";1
"foto";1
"fotos";3
"fracionado";1
"fraco";1
"fraude";2
"fraudes";1
"frequencia";1
"frequência";3
"frequênciatodas";1
"frequentemente";3
"frequentes";2
"fubciona";1
"fulerinha";1
"funcao";1
"função";10
"funciona";37
"funcionado";1
"funcionalidade";1
"funcionalidades";3
"funcionam";4
"funcionando";7
"funcionar";9
"funcionava";2
"funcione";2
"funcionou";3
"funcoes";2
"funções";2
"fundo";2
"fundos";2
"galaxy";5
"galera";1
"ganhando";1
"ganhar";1
"gasto";1
"gastos";2
"genéricas";1
"gente";4
"gera";3
"geração";1
"gerado";1
"gerar";5
"gerei";1
"gerenciar";1
"gerente";6
"gerentes";1
"google";3
"gostando";1
"gostaria";3
"gostei";6
"gps";1
"gráficos";1
"grande";4
"gravadas";1
"grosseiros";1
"guardião";1
"habilita";1
"habilitação";1
"habilitado";2
"habilitar";3
"habilitarvalidar";1
"habitar";1
"hahaha";2
"havendo";1
"hoje";10
"homepage";1
"hora";17
"horario";1
"horas";2
"horrivel";3
"horrível";14
"horroroso";1
"ícone";2
"ida";1
"ideal";1
"ideia";1
"identifica";1
"identificação";2
"identificador";1
"identificar";1
"ido";1
"igor";1
"igual";1
"imagem";1
"imaginando";1
"imcapacidade";1
"imclui";1
"imediatamente";1
"impacta";1
"impede";1
"impedem";2
"implementar";1
"importante";1
"impossivel";3
"impossível";4
"impostos";2
"impraticável";1
"impressão";3
"impressionante";1
"imprimir";1
"imputar";1
"inaceitáveis";1
"inacreditável";1
"inadmissível";1
"inativo";1
"incapazes";1
"incluirem";1
"incompatível";1
"incompetência";1
"incompleto";1
"inconsistencia";1
"inconveniente";2
"incorreta";1
"incorretas";1
"indefinido";1
"independentemente";1
"indicada";1
"indicam";1
"indisponíveis";1
"indisponível";2
"indo";1
"ineficiente";2
"inesperadamente";1
"inesperado";1
"inesperados";1
"infeliz";1
"infelizmente";2
"informa";6
"informação";5
"informações";6
"informado";1
"informando";1
"informaque";1
"informar";2
"inicial";2
"inicialização";1
"iniciar";3
"iniciei";1
"inicio";1
"início";1
"inoperante";1
"insegurança";1
"inserir";1
"inss";1
"instabilidade";1
"instabilidades";1
"instalada";2
"instalado";4
