"kwic.text...tolower.negative_review...1....keyword...negative_most_used.j...";"word"
"visa no app da samsung";"app"
"rever: o app está horrível,";"app"
"biométrico. no app do bradesco";"app"
"cá o app está muito";"app"
"cheque via app não tem";"app"
"utilizar um app que não";"app"
"agora o app do bb";"app"
"funcionalidades do app b4 bankcard";"app"
"que o app está com";"app"
"que o app ""parou"". agora,";"app"
"puro. o app original do";"app"
"novamente. no app informa q";"app"
"e o app fica pensando";"app"
"versão do app não aparece";"app"
"assim o app permite selecionar";"app"
"depósito o app fecha sozinho.";"app"
"banco o app não encontra";"app"
"até o app do banco";"app"
"américa latina... app é nefasto!";"app"
"itoken no app somente por";"app"
"abriu o app o login";"app"
"desenvolver o app entre outros";"app"
"vexame, atendimento, app fulerinha, essa";"app"
"que algum app no meu";"app"
"apuros. o app diz que";"app"
"desinstalar o app e ir";"app"
"avaliar um app ou fazer";"app"
"baixar o app do b4";"app"
"vezes, o app não funciona";"app"
"abrir o app ele fica";"app"
"e no app store nao";"app"
"que o app baixou uma";"app"
"ja existe. app esta muito";"app"
"atualizei o app e ele";"app"
"entro no app tenho q";"app"
"usar o app devido a";"app"
"(assaltos). o app alega que";"app"
"qualidade do app deixa muito";"app"
"uso este app desde qdo";"app"
"entrega um app que tá";"app"
"sem o app travar e";"app"
"cartões o app trava e";"app"
"e o app vai para";"app"
"falha constantemente, app fecha sozinho";"app"
"destruiu um app q era";"app"
"dias, o app tem fechado";"app"
"ux do app do ponto";"app"
"abrir o app foram três";"app"
"atualização o app mal fica";"app"
"com o app b4 bank";"app"
"cheque pelo app é irritante,";"app"
"o melhor app de banco";"app"
"fubciona o app da um";"app"
"s9.. o app encerra inesperadamente";"app"
"cá o app tem travado";"app"
"no meu app a parte";"app"
"e o app está reniciando";"app"
"voltar no app ele gera";"app"
"usar o app e ele";"app"
"login da app store e";"app"
"do cartao. app b4 bank";"app"
"acessar, o app nem abre";"app"
"uso no app (ou usar";"app"
"vez, o aplicativo efetuou dois";"aplicativo"
"noite o aplicativo diz que";"aplicativo"
"abrir um aplicativo para poder";"aplicativo"
"cartão, dá""o aplicativo parou"" reinstalei";"aplicativo"
"para um aplicativo de menor";"aplicativo"
"uma vergonha, aplicativo travando, não";"aplicativo"
"mentira. o aplicativo não funciona.";"aplicativo"
"abrir o aplicativo b4 bank";"aplicativo"
"cartão pelo aplicativo e nao";"aplicativo"
"cheque, o aplicativo se fecha.";"aplicativo"
"note 10+: aplicativo lento, não";"aplicativo"
"bank pelo aplicativo é não";"aplicativo"
"que esse aplicativo aqui toda";"aplicativo"
"primeira resenha, aplicativo lento, ineficiente,";"aplicativo"
"uso o aplicativo do santander";"aplicativo"
"atualizarem o aplicativo o cliente";"aplicativo"
"desbloquear o aplicativo com a";"aplicativo"
"vezes o aplicativo pede para";"aplicativo"
"utilizar o aplicativo na 2a.";"aplicativo"
"preferia o aplicativo b4 bank";"aplicativo"
"qual o aplicativo b4 bank";"aplicativo"
"passa o aplicativo esta cada";"aplicativo"
"transação o aplicativo avisa que";"aplicativo"
"sugerido pelo aplicativo , fundo";"aplicativo"
"crédito. o aplicativo fecha sozinho.";"aplicativo"
"para resolver. aplicativo ruim de";"aplicativo"
"opção o aplicativo diz que";"aplicativo"
"ai o aplicativo sai sozinho";"aplicativo"
"vezes o aplicativo demora pra";"aplicativo"
"dw nenhum aplicativo b4 bank.";"aplicativo"
"logar o aplicativo fechava e";"aplicativo"
"e o aplicativo para de";"aplicativo"
"que o aplicativo será fechado.";"aplicativo"
"pois o aplicativo não funciona";"aplicativo"
"e não consigo usar o";"consigo"
"atualizações, não consigo pagar lendo";"consigo"
"atualização, não consigo fazer pagamentos";"consigo"
"e só consigo pagar contas";"consigo"
"funciona não consigo resgatar prêmios.";"consigo"
"disso não consigo pagar cartão";"consigo"
"gostei nao consigo transferir para";"consigo"
"e só consigo pagar 1";"consigo"
"eu não consigo agendar transferências";"consigo"
"pior, não consigo mais abrir";"consigo"
"atualização, não consigo mais verificar";"consigo"
"aplicativo. não consigo salvar minhas";"consigo"
"agora não consigo fazer um";"consigo"
"poxa nao consigo de jeito";"consigo"
"japão não consigo ir a";"consigo"
"atualização, não consigo acessar a";"consigo"
"aplicativo, não consigo validar essa";"consigo"
"horrível. eu consigo programar uma";"consigo"
"travamento. não consigo acessar a";"consigo"
"plenamente, não consigo transferir valores";"consigo"
"muito, não consigo ver a";"consigo"
"reiniciando direto...não consigo ver fatura";"consigo"
"período não consigo utilizar minha";"consigo"
"resultado, não consigo fazer nenhuma";"consigo"
"atualização não consigo acessar meu";"consigo"
"infelizmente não consigo abrir o";"consigo"
"e não consigo mais acessar";"consigo"
"vezes não consigo fazer a";"consigo"
"isso nao consigo acessar o";"consigo"
"27/08/19 não consigo usar porque";"consigo"
"tentando.... nem consigo logar... já";"consigo"
"demais. não consigo concluir nenhuma";"consigo"
"meses n consigo acessar, o";"consigo"
"está horrível, lento d+. o";"lento"
"se precisa. lento e não";"lento"
"aplicativo super lento leva quase";"lento"
"app está lento e não";"lento"
"e mais lento que o";"lento"
"continua muito lento o login";"lento"
"lastima, tudo lento e muitas";"lento"
"aplicativo bastante lento comparado com";"lento"
"aplicativo é lento de mais";"lento"
"pior app, lento e instável,";"lento"
"ficou muito lento depois da";"lento"
"ou esta lento ou trava";"lento"
"está muito lento de um";"lento"
"tem estado lento e a";"lento"
"poupanca...ou eu nao sei digitar";"nao"
"beneficiario. aplicativo nao e confiavel.";"nao"
"cartao virtual nao funciona qdo";"nao"
"o pior, nao aceitam reclamações.";"nao"
"2 1.2.7 nao funciona mais";"nao"
"de barras nao foca automatico";"nao"
"aplicativo e nao consigo. a";"nao"
"nos pagamentos. nao ajusta o";"nao"
"nao gostei nao consigo transferir";"nao"
"maravilhoso, até nao reconhecer mais";"nao"
"do cvv nao aparece, não";"nao"
"jeito ou nao o fazem";"nao"
"uma porqeria nao consegui recargar";"nao"
"para poupança. nao sei pq";"nao"
"app store nao me deu";"nao"
"atualização porem nao tem nada";"nao"
"e corretora nao estao disponiveis";"nao"
"a mais nao sei de";"nao"
"extratos que nao funcionam, instabilidade.";"nao"
"impressão digital nao esta funcionando";"nao"
"pena que nao tem menos";"nao"
"é pessima. nao le o";"nao"
"indisponível"" quase nao uso o";"nao"
"mensagem que nao consegue ler";"nao"
"mais detalhado, nao temos acesso";"nao"
"dos cheques nao estao visíveis,";"nao"
"incorretas que nao conseguem resolver.";"nao"
"android em nao colocar essa";"nao"
"é instavel. nao deixa claro";"nao"
"dowload e nao atualiza. enquanto";"nao"
"senha e nao aceita a";"nao"
"da última atualização não reconhece";"atualização"
"depois da atualização não lê";"atualização"
"a última atualização a câmera";"atualização"
"da última atualização a leitura";"atualização"
"depois da atualização desconfigurou tudo,";"atualização"
"ter um atualização e que";"atualização"
"baixou uma atualização o itoken";"atualização"
"q tem atualização porem nao";"atualização"
"faz a atualização com eficiência.";"atualização"
"pedida a atualização novamente. cansei.";"atualização"
"app pede atualização constante e";"atualização"
"uma nova atualização e, pronto...";"atualização"
"há nenhuma atualização de correção";"atualização"
"essa ultima atualização deixou ele";"atualização"
"antes da atualização aparecia meu";"atualização"
"da última atualização ficou uma";"atualização"
"a cada atualização fica pior!";"atualização"
"da última atualização o app";"atualização"
"a última atualização o app";"atualização"
"toda nova atualização pede para";"atualização"
"após a atualização está péssimo!";"atualização"
"da última atualização não consigo";"atualização"
"download da atualização dw nenhum";"atualização"
"android faz atualização o itoken";"atualização"
"a nova atualização não está";"atualização"
"atualizar, sem atualização não acesso!";"atualização"
"aplicativo pede atualização mas não";"atualização"
"o b4 bank b4 banknalité";"bank"
"do b4 bank b4 banknalité;";"bank"
"o b4 bank cresceu e";"bank"
"do b4 bank quando usava";"bank"
"todos, b4 bank com tanto";"bank"
"o b4 bank ex. bradesco";"bank"
"aplicativo b4 bank b4 banknalité,";"bank"
"do b4 bank pelo aplicativo";"bank"
"no b4 bank pensando na";"bank"
"ser b4 bank com esse";"bank"
"do b4 bank ter alterado";"bank"
"do b4 bank (saudades do";"bank"
"do b4 bank b4 bankalite,";"bank"
"entre b4 bank para b4";"bank"
"o b4 bank b4 banknalité.";"bank"
"aplicativo b4 bank não b4";"bank"
"no b4 bank b4 banknalité";"bank"
"aplicativo b4 bank b4 banknalité";"bank"
"agência b4 bank pra desbloquear";"bank"
"o b4 bank opera com";"bank"
"no b4 bank há vários";"bank"
"app b4 bank empresas... resultado,";"bank"
"do b4 bank normal é";"bank"
"do b4 bank está ficando";"bank"
"cadastro b4 bank corretora. esse";"bank"
"app b4 bank pessoa física";"bank"
"validação do cartão visa no";"cartão"
"fatura do cartão de crédito";"cartão"
"fatura do cartão tem uns";"cartão"
"gasto do cartão especificado); -";"cartão"
"dias o cartão virtual não";"cartão"
"cancelei 1 cartão de crédito";"cartão"
"solicitado o cartão virtual a";"cartão"
"pagar meu cartão pelo aplicativo";"cartão"
"consigo pagar cartão de crédito";"cartão"
"o meu cartão de credito";"cartão"
"do meu cartão de crédito.";"cartão"
"pontos do cartão de crédito";"cartão"
"pontos do cartão de crédito.";"cartão"
"senha do cartão esta errada,";"cartão"
"extrato de cartão de crédito";"cartão"
"e do cartão de crédito";"cartão"
"geração do cartão virtual. a";"cartão"
"consigo gerar cartão virtual quando";"cartão"
"usar o cartão virtual gerado.";"cartão"
"boletos no cartão de crédito";"cartão"
"fatura do cartão no débito";"cartão"
"com o cartão de débito.";"cartão"
"fatura do cartão do mes";"cartão"
"meu segundo cartão de crédito.";"cartão"
"contas de cartão de crédito";"cartão"
"a área cartão ele trava,";"cartão"
"fatura do cartão de crédito";"cartão"
"para o cartão sd, pois";"cartão"
"de outro cartão o mesmo";"cartão"
"tentar acessar cartão de crédito";"cartão"
"recarga de cartão de crédito";"cartão"
"todas as vezes que entro";"vezes"
"ligar 5 vezes para digitar";"vezes"
"travando muitas vezes e parou";"vezes"
"entrar várias vezes para conseguir";"vezes"
"maioria das vezes faço mais";"vezes"
"maioria das vezes digito a";"vezes"
"cobra 2 vezes e você";"vezes"
"frequência.todas as vezes que clico";"vezes"
"app. muitas vezes fica processando";"vezes"
"e muitas vezes nem consegue";"vezes"
"transferências muitas vezes é impraticável.";"vezes"
"pensa duas vezes antes de";"vezes"
"login. as vezes mal abriu";"vezes"
"invalidado 2 vezes num espaço";"vezes"
"por diversas vezes notificado aos";"vezes"
"agencia outras vezes com este";"vezes"
"falha muitas vezes e o";"vezes"
"tentar várias vezes até conseguir.";"vezes"
"lento, diversas vezes tem q";"vezes"
"usar, muitas vezes o aplicativo";"vezes"
"últimas três vezes que fui";"vezes"
"avaliei... quantas vezes tenho que";"vezes"
"virtual. houve vezes em q";"vezes"
"nas raras vezes que o";"vezes"
"lento. as vezes demora muito";"vezes"
"por diversas vezes fazer uma";"vezes"
"maioria das vezes vejo dois";"vezes"
"ir 5 vezes na agência";"vezes"
"tocar 2 vezes no link.";"vezes"
"muito. várias vezes não consigo";"vezes"
"aconteceu muitas vezes em dias";"vezes"
"instalar várias vezes e não";"vezes"
"agência e conta corrente e";"conta"
"extrato da conta ou faturas";"conta"
"vinculados a conta (assim, cada";"conta"
"nem abra conta neste banco";"conta"
"o a conta e fica";"conta"
"uma nova conta para transferências";"conta"
"de abrir conta no b4";"conta"
"a mesma conta sem digitar";"conta"
"a minha conta e não";"conta"
"pagar uma conta como fazia";"conta"
"gerente da conta através de";"conta"
"assuntos da conta corrente e";"conta"
"cadastrar outra conta no app.";"conta"
"agência e conta ficarem gravadas";"conta"
"entrar na conta ,piorou muito";"conta"
"de uma conta por vez,";"conta"
"que a conta esta errada";"conta"
"consigo pagar conta no meu";"conta"
"pagamento de conta e transferência.";"conta"
"saldo em conta corrente para";"conta"
"agência e conta corrente disponível,";"conta"
"erro na conta ou agencia";"conta"
