"keyword";"apply.dataset..2..sum."
"abre";3
"abrir";6
"abro";1
"ação";1
"aceita";1
"aceitar";2
"aceite";1
"aceito";1
"acertar";1
"acesa";1
"acessada";1
"acessar";5
"acesso";6
"achei";1
"acho";5
"acompanhar";1
"aconteceu";1
"acontecido";1
"acumular";1
"adiada";1
"adicionar";1
"adora";1
"agência";4
"agendamento";1
"agendar";2
"agilizar";2
"agora";3
"agrada";1
"ainda";9
"ajuda";1
"além";2
"alenga";1
"algo";3
"algum";2
"alguma";2
"algumas";5
"alguns";6
"alterações";1
"alterado";1
"ambos";2
"amigável";2
"anda";3
"android";2
"anterior";5
"anteriormente";1
"antes";2
"apanha";1
"aparece";3
"aparecendo";1
"aparecer";1
"aparecerem";1
"aparelho";2
"aplicação";2
"aplicacoes";1
"aplicarivo";1
"aplicativo";36
"aplicativos";2
"apos";1
"após";2
"app";53
"appcomo";1
"apps";1
"aprender";1
"apresentadas";1
"apresentado";2
"apresentados";1
"apresentando";1
"aqui";1
"área";1
"arrumem";1
"aspectos";1
"assim";2
"atrás";1
"atraso";1
"através";1
"atraz";1
"atual";1
"atualizacao";2
"atualização";8
"atualizações";3
"atualizada";1
"atualizar";7
"autenticação";1
"automática";1
"automaticamente";1
"automatização";1
"avaliação";1
"avaliar";1
"avisadas";1
"baixar";2
"baixei";1
"bancária";1
"banco";11
"bancos";8
"bank";8
"bankalite";1
"bankcard";1
"bankline";1
"banknalite";1
"barra";1
"barras";6
"básico";1
"bastante";6
"batem";1
"bco";1
"bem";12
"bemo";1
"biometria";8
"biométrica";1
"boa";2
"boas";1
"boazinha";1
"boleto";1
"boletos";2
"bom";21
"bordas";1
"botar";1
"botões";1
"bradesco";2
"brasil";6
"brasília";1
"brigado";1
"bug";1
"bugs";3
"cada";6
"cadastradas";1
"cadastrar";2
"cai";1
"caindo";1
"caixa";2
"cancelamento";1
"cancelar";1
"capacidade";1
"capitaoo";1
"captura";1
"cara";1
"carregar";1
"cartão";13
"cartãode";1
"cartões";1
"categorias";1
"categorização";3
"categorizar";1
"celestiaes";1
"celular";5
"celulares";1
"chat";1
"chatas";1
"chatice";1
"cheio";1
"cheque";8
"cheques";6
"claramente";1
"clareza";1
"claro";1
"classificação";2
"classifico";1
"clico";1
"cliente";3
"clique";1
"cliques";1
"cobrar";1
"cód";1
"codigo";1
"código";6
"códigos";2
"coisa";3
"coisas";2
"colar";1
"colocada";1
"colocar";1
"comandos";1
"comfederaçoes";1
"comparado";2
"compartilhamento";1
"compartilhar";4
"completas";1
"completo";2
"complexo";1
"complicado";2
"compras";2
"comprovante";6
"comprovantes";5
"computador";1
"comunicaria";1
"conclusão";1
"concorrentes";1
"condições";2
"conectado";1
"conexão";3
"confiável";1
"confirmações";1
"confirmar";1
"conforme";2
"confunde";1
"confusa";1
"confuso";1
"conhecer";1
"consegue";1
"consegui";3
"conseguindo";2
"conseguir";2
"consertem";1
"considerar";1
"consigo";16
"constantemente";1
"constatados";1
"consugo";1
"consulta";4
"conta";5
"contamas";1
"contar";1
"contas";4
"contato";1
"contatos";1
"continua";3
"continuo";2
"conversar";1
"copiar";1
"copiem";1
"corrente";3
"corretos";1
"corrijam";1
"cortee";1
"crash";1
"credito";1
"crédito";9
"criar";1
"culpa";1
"dados";1
"dando";1
"dar";2
"darei";1
"darem";1
"darf";1
"data";1
"datas";1
"débito";1
"deficiência";1
"deixa";1
"deixar";3
"deletar";1
"demais";2
"demasiadas";1
"demora";3
"demoram";1
"dentre";1
"dentro";4
"deplorável";1
"depositar";2
"deposito";2
"depósito";11
"depósitos";1
"desabilita";1
"desabilitando";1
"desabilitar";1
"desagradável";1
"descadastra";1
"desconectado";1
"desconto";1
"desde";2
"desejar";1
"desenvolvedores";2
"desinstalei";1
"desinstalo";1
"desliguei";1
"desnecessário";1
"despesas";1
"desse";1
"detalhado";1
"detalhar";1
"detalhes";1
"detalhesacho";1
"detecta";1
"detran";1
"deu";1
"devagar";2
"deveria";10
"deveriam";3
"devido";1
"devo";1
"dia";10
"diária";1
