"keyword";"apply.dataset..2..sum."
"abre";4
"abrir";10
"acessar";12
"acesso";26
"achei";4
"acho";24
"acontece";3
"adorei";7
"adoro";9
"agência";10
"agendamento";3
"agendar";3
"agil";4
"ágil";16
"agilidade";5
"agiliza";3
"agora";18
"ainda";15
"ajuda";9
"além";5
"algo";6
"algum";6
"alguma";4
"algumas";23
"alguns";9
"amigável";15
"amo";4
"anos";5
"anterior";7
"antes";9
"aparece";7
"aparecendo";3
"apenas";6
"aplicações";3
"aplicativo";165
"aplicativos";3
"após";9
"app";276
"apps";6
"aprender";3
"apresentação";3
"aprovado";3
"aqui";13
"assim";13
"ate";3
"atende";32
"atendeu";4
"atendido";6
"atendimento";13
"através";3
"atualização";22
"atualizações";5
"atualizar";13
"automaticamente";3
"baixar";4
"banco";59
"bancos";14
"bank";67
"bankcard";3
"banking";3
"bankline";5
"barra";3
"barras";26
"bastante";30
"bem";84
"biometria";6
"boa";125
"boleto";6
"boletos";8
"bom";407
"brasil";3
"bugs";9
"cada";22
"cadastro";3
"caixa";11
"cancelar";4
"cartao";7
"cartão";38
"cartões";9
"caso";3
"causa";4
"cel";4
"celular";13
"certo";5
"cheque";8
"cheques";9
"claro";5
"cliente";9
"clientes";3
"código";26
"coisa";4
"coisas";4
"colocar";5
"comodidade";5
"compartilhar";4
"completo";22
"comprovante";4
"comprovantes";5
"computador";9
"confiável";13
"consegue";3
"conseguindo";4
"consigo";41
"consulta";3
"consultas";3
"conta";28
"contas";13
"continua";6
"continue";4
"continuem";6
"correntista";3
"credito";4
"crédito";19
"cumpre";3
"dados";3
"dando";4
"dar";5
"darf";3
"data";7
"dda";6
"deixa";7
"deixou";3
"demais";10
"demora";7
"depósito";10
"desbloqueio";3
"descomplicado";6
"desejar";4
"desinstalar";3
"dessa";4
"desse";4
"deste";5
"detalhes";6
"deu";3
"deve";5
"deveria";8
"dia";45
"dias";9
"difícil";5
"dificilmente";3
"dificuldade";5
"digitação";3
"digital";17
"digitar";6
"dinâmico";3
"direto";7
"disponíveis";4
"disponível";6
"disso";3
"dou";4
"dúvida";3
"efetuar";5
"eficaz";8
"eficiente";56
"eletrônico";8
"embora";3
"encontrar";3
"enquanto";4
"entender";5
"entrar";7
"erro";7
"espero";8
"estar";6
"estrela";3
"estrelas";8
"etc";5
"excelente";191
"excepcional";5
"exelente";3
